window_idx,true_label,original_xgboost_score,counterfactual_perfect_score,improvement,reduction_pct
290,1,0.999729,0.999999,0.00027,0.03
291,0,0.227842,0.999999,0.772157,338.9
292,1,0.999772,0.999999,0.000227,0.02
293,0,0.000761,0.999999,0.999238,131304.19
294,0,5.2e-05,0.999999,0.999947,1922605.27
295,1,0.99908,0.999999,0.000919,0.09
296,0,0.000554,0.999999,0.999445,180401.98
297,1,0.999973,0.999999,2.6e-05,0.0
298,0,0.000782,0.999999,0.999217,127775.48
299,1,0.99956,0.999999,0.000439,0.04
300,0,0.000165,0.999999,0.999834,605923.28
301,0,0.000211,0.999999,0.999788,473810.72
302,0,2.4e-05,0.999999,0.999975,4164827.16
303,1,0.999957,0.999999,4.2e-05,0.0
304,1,0.999984,0.999999,1.5e-05,0.0
305,1,0.99989,0.999999,0.000109,0.01
306,1,0.999884,0.999999,0.000115,0.01
307,0,0.000125,0.999999,0.999874,799835.21
308,0,0.001193,0.999999,0.998806,83721.51
309,1,0.99995,0.999999,4.9e-05,0.0
310,0,0.001104,0.999999,0.998895,90478.8
311,1,0.999978,0.999999,2.1e-05,0.0
312,1,0.999863,0.999999,0.000136,0.01
313,1,0.633208,0.999999,0.366791,57.93
314,1,0.999944,0.999999,5.5e-05,0.01
315,0,0.000116,0.999999,0.999883,861893.8
316,1,0.908754,0.999999,0.091245,10.04
317,1,0.997304,0.999999,0.002695,0.27
318,1,0.999956,0.999999,4.2e-05,0.0
319,0,0.000208,0.999999,0.999791,480645.64
320,0,4.9e-05,0.999999,0.99995,2040297.9
321,0,5e-05,0.999999,0.999949,1999498.1
322,1,0.999969,0.999999,3e-05,0.0
323,0,0.000133,0.999999,0.999866,751722.43
324,0,0.00035,0.999999,0.999649,285605.84
325,1,0.999945,0.999999,5.4e-05,0.01
326,1,0.999928,0.999999,7.1e-05,0.01
327,1,0.999828,0.999999,0.000171,0.02
328,0,0.000648,0.999999,0.999351,154218.45
329,1,0.999835,0.999999,0.000164,0.02
330,0,1.3e-05,0.999999,0.999986,7686287.47
331,0,0.046102,0.999999,0.953897,2069.1
332,0,8.5e-05,0.999999,0.999914,1176231.03
333,1,0.999911,0.999999,8.8e-05,0.01
334,0,0.0003,0.999999,0.999699,333221.89
335,1,0.999433,0.999999,0.000566,0.06
336,0,0.000103,0.999999,0.999896,970678.57
337,0,0.001021,0.999999,0.998978,97842.14
338,1,0.999965,0.999999,3.4e-05,0.0
339,0,0.000799,0.999999,0.9992,125054.76
340,0,2.3e-05,0.999999,0.999976,4345832.25
341,0,0.002888,0.999999,0.997111,34525.88
342,1,0.999781,0.999999,0.000218,0.02
343,1,0.999871,0.999999,0.000128,0.01
344,1,0.999881,0.999999,0.000118,0.01
345,1,0.999954,0.999999,4.5e-05,0.0
346,1,0.999965,0.999999,3.4e-05,0.0
347,0,0.000287,0.999999,0.999712,348319.57
348,0,5.5e-05,0.999999,0.999944,1817749.5
349,0,7.5e-05,0.999999,0.999924,1333054.26
350,0,5.1e-05,0.999999,0.999948,1960297.98
351,0,0.000231,0.999999,0.999768,432781.26
352,1,0.992016,0.999999,0.007983,0.8
353,1,0.999934,0.999999,6.5e-05,0.01
354,0,0.000678,0.999999,0.999321,147390.3
355,1,0.99992,0.999999,7.8e-05,0.01
356,0,0.000694,0.999999,0.999305,143990.0
357,0,0.000566,0.999999,0.999433,176575.15
358,0,0.055946,0.999999,0.944053,1687.44
359,1,0.999858,0.999999,0.000141,0.01
360,1,0.999845,0.999999,0.000154,0.02
361,1,0.999594,0.999999,0.000405,0.04
362,0,9.9e-05,0.999999,0.9999,1009897.99
363,1,0.999818,0.999999,0.000181,0.02
364,0,0.000393,0.999999,0.999606,254346.2
365,1,0.999918,0.999999,8.1e-05,0.01
366,1,0.999936,0.999999,6.3e-05,0.01
367,1,0.999902,0.999999,9.7e-05,0.01
368,1,0.999959,0.999999,4e-05,0.0
369,0,9.2e-05,0.999999,0.999907,1086737.31
370,0,0.00039,0.999999,0.999609,256303.43
371,0,0.000267,0.999999,0.999732,374417.44
372,1,0.999968,0.999999,3.1e-05,0.0
373,1,0.956994,0.999999,0.043004,4.49
374,1,0.999676,0.999999,0.000323,0.03
375,0,0.000708,0.999999,0.999291,141140.8
376,0,0.000445,0.999999,0.999554,224613.83
377,1,0.999974,0.999999,2.5e-05,0.0
378,0,0.000229,0.999999,0.99977,436561.72
379,1,0.999337,0.999999,0.000662,0.07
380,0,6.5e-05,0.999999,0.999934,1538123.37
381,1,0.999945,0.999999,5.4e-05,0.01
382,1,0.999951,0.999999,4.8e-05,0.0
383,0,0.00034,0.999999,0.999659,294008.71
384,0,0.000764,0.999999,0.999235,130788.21
385,0,0.000417,0.999999,0.999582,239702.17
386,0,7.3e-05,0.999999,0.999926,1369574.03
387,0,0.001783,0.999999,0.998216,55984.88
388,0,9.4e-05,0.999999,0.999905,1063615.57
389,1,0.999887,0.999999,0.000112,0.01
390,0,0.000156,0.999999,0.999843,640883.92
391,1,0.999957,0.999999,4.2e-05,0.0
392,0,0.000322,0.999999,0.999677,310449.05
393,0,0.000325,0.999999,0.999674,307582.54
394,1,0.999945,0.999999,5.4e-05,0.01
395,0,0.000356,0.999999,0.999643,280790.71
396,1,0.999826,0.999999,0.000173,0.02
397,1,0.999914,0.999999,8.5e-05,0.01
398,1,0.99994,0.999999,5.9e-05,0.01
399,1,0.999817,0.999999,0.000182,0.02
400,0,0.002911,0.999999,0.997088,34252.3
401,1,0.999545,0.999999,0.000454,0.05
402,0,0.000292,0.999999,0.999707,342353.69
403,0,7.5e-05,0.999999,0.999924,1333054.26
404,1,0.999878,0.999999,0.000121,0.01
405,1,0.99992,0.999999,7.9e-05,0.01
406,1,0.999812,0.999999,0.000187,0.02
407,1,0.999913,0.999999,8.6e-05,0.01
408,0,0.000141,0.999999,0.999858,709068.86
409,0,0.000163,0.999999,0.999836,613358.69
410,0,0.000155,0.999999,0.999844,645019.03
411,0,0.000353,0.999999,0.999646,283177.81
412,0,0.000191,0.999999,0.999808,523432.28
413,0,0.00014,0.999999,0.999859,714133.99
414,1,0.999776,0.999999,0.000223,0.02
415,0,2.5e-05,0.999999,0.999974,3998296.68
416,0,6.2e-05,0.999999,0.999937,1612541.53
417,0,0.001176,0.999999,0.998823,84933.21
418,0,0.000136,0.999999,0.999863,735139.33
419,0,0.005543,0.999999,0.994456,17940.72
420,1,0.945462,0.999999,0.054537,5.77
421,0,2.6e-05,0.999999,0.999973,3844571.32
422,0,0.000387,0.999999,0.999612,258291.0
423,1,0.99994,0.999999,5.8e-05,0.01
424,0,5.7e-05,0.999999,0.999942,1753976.5
425,0,0.000155,0.999999,0.999844,645019.03
426,0,3.8e-05,0.999999,0.999961,2630784.0
427,1,0.999879,0.999999,0.00012,0.01
428,1,0.999826,0.999999,0.000173,0.02
429,1,0.999933,0.999999,6.6e-05,0.01
430,0,2.9e-05,0.999999,0.99997,3446983.8
431,1,0.999951,0.999999,4.8e-05,0.0
432,1,0.99982,0.999999,0.000179,0.02
433,0,0.000249,0.999999,0.99975,401489.9
434,0,5.3e-05,0.999999,0.999946,1886334.65
435,1,0.98246,0.999999,0.017539,1.79
436,1,0.999818,0.999999,0.00018,0.02
437,1,0.99995,0.999999,4.9e-05,0.0
438,0,0.0001,0.999999,0.999899,999799.02
439,0,0.000215,0.999999,0.999784,464994.19
440,0,4.8e-05,0.999999,0.999951,2082797.33
441,0,0.00036,0.999999,0.999639,277669.79
442,0,0.001696,0.999999,0.998303,58861.86
443,0,2.6e-05,0.999999,0.999973,3844571.32
444,0,0.001435,0.999999,0.998564,69585.86
445,0,0.013901,0.999999,0.986098,7093.71
446,1,0.994871,0.999999,0.005128,0.52
447,0,0.000596,0.999999,0.999403,167682.25
448,1,0.999708,0.999999,0.000292,0.03
449,0,0.000155,0.999999,0.999844,645019.03
450,1,0.999952,0.999999,4.7e-05,0.0
451,1,0.99994,0.999999,5.9e-05,0.01
452,0,0.042118,0.999999,0.957881,2274.28
453,1,0.999883,0.999999,0.000116,0.01
454,0,0.000147,0.999999,0.999852,680125.16
455,0,2.8e-05,0.999999,0.999971,3570049.98
456,0,0.000856,0.999999,0.999143,116720.95
457,0,9.7e-05,0.999999,0.999902,1030720.54
458,1,0.999775,0.999999,0.000224,0.02
459,1,0.999603,0.999999,0.000396,0.04
460,1,0.989059,0.999999,0.01094,1.11
461,0,0.000372,0.999999,0.999627,268709.71
462,1,0.999984,0.999999,1.5e-05,0.0
463,0,5.3e-05,0.999999,0.999946,1886334.65
464,1,0.999872,0.999999,0.000127,0.01
465,0,0.00165,0.999999,0.998349,60505.63
466,0,0.000393,0.999999,0.999606,254346.2
467,1,0.999874,0.999999,0.000124,0.01
468,0,0.000285,0.999999,0.999714,350764.53
469,0,0.000489,0.999999,0.99951,204394.59
470,1,0.999916,0.999999,8.3e-05,0.01
471,0,0.000348,0.999999,0.999651,287247.78
472,0,0.000565,0.999999,0.999434,176887.84
473,0,0.000179,0.999999,0.99982,558527.46
474,0,0.000431,0.999999,0.999568,231912.95
475,1,0.999055,0.999999,0.000944,0.09
476,0,0.013591,0.999999,0.986408,7257.8
477,1,0.999641,0.999999,0.000358,0.04
478,0,0.000376,0.999999,0.999623,265850.11
479,0,5.6e-05,0.999999,0.999943,1785293.7
480,1,0.999956,0.999999,4.3e-05,0.0
481,0,4.2e-05,0.999999,0.999957,2380283.27
482,1,0.999971,0.999999,2.8e-05,0.0
483,1,0.999977,0.999999,2.2e-05,0.0
484,0,0.000425,0.999999,0.999574,235188.35
485,1,0.999645,0.999999,0.000354,0.04
486,1,0.999746,0.999999,0.000253,0.03
487,0,0.000147,0.999999,0.999852,680125.16
488,0,0.00032,0.999999,0.999679,312389.93
